s1905	s1816	s1616
-1.682809949	-0.821402609	-0.56187892
-1	-0.861480117	-1.63226819
0.994075179	0.40662533	0.43812111
0.769702315	1.328622818	1.37373054
-0.272525907	1.333068609	1.242200851
-0.162552997	-0.966833055	0.59012419
-1.123382449	0.283393562	-0.984570026
-1.645335197	-2.618909836	-1.451696038
0.208813936	0.217591465	-0.112894036
-0.110558406	-1.966833115	-1.494764686
-1.202816963	0.188445151	0.920272768
-0.123382434	-0.923764348	-1.681177855
1.457279801	-0.022542536	0.306331187
-0.822212934	0.086804867	-0.015596837
1.09163034	0.776675403	0.912052274
0.577057362	0.355094969	0.494264126
-0.555697978	0.783188641	1.168200254
-0.162552997	0.472588539	0.960686982
-1.123382449	0.415037572	-0.217230707
-0.085247353	-0.068712682	0.379704475
-0.345774889	-0.022542536	0.755461931
-0.953457475	-0.988859475	0.090197816
1.720314264	0.188445151	0.42662546
0.373043448	0.581229806	0.343484163
-0.244236887	0.178597391	0.331205845
1.108181596	0.310700893	0.030696772
0.33604911	-0.367371023	-0.516791105
-0.360881776	1.427564621	1.209034085
0.623851538	0.158697844	0.306331187
-0.060372695	-0.01122725	0.764621973
-0.760812283	-1.801773787	-0.253756642
-0.422942698	-0.283306837	0.403355718
1.183004737	1.287980795	-0.389411747
-0.123382434	0.274174929	-0.310340136
-1.097847342	0.472588539	1.796231508
-1.573185444	-1.763299704	-0.181606829
-0.391578555	-0.216811329	0.21572873
-0.345774889	0.74366039	-0.310340136
-0.822212934	-1.01122725	-0.40987584
0.391190737	0.901662171	0.689659834
0.623851538	0.118055791	0.318822145
-1.843274593	-0.338801891	-1.681177855
-0.538419962	-1.584962368	-1.584962487
-1.376148582	-1.229867458	-0.924448967
1.244188309	-0.821402609	-0.7842713
0.31719014	0.994397342	0.992222607
-0.645335197	0.292553604	0.090197816
-0.68280983	-0.551795602	-0.40987584
-0.471305758	-0.725825071	-0.656515837
0.33604911	-0.338801891	0.548304021
-0.216491908	-0.801773787	0.030696772
-0.258312047	-0.367371023	0.472068399
-1.149377584	-1.584962368	-0.34933421
3.094402075	2.985952139	2.136798382
0.994075179	0.551015198	-0.7842713
4.001477718	3.049468756	2.540326118
0.288431138	0.158697844	-0.253756642
-1.123382449	-1.519374132	-1.369233727
0.080489844	0.097297251	0.460841149
-0.01187408	-0.902702749	-0.291231304
1.524589777	0.871415794	0.968635857
-0.345774889	-0.10433656	0.188761562
0.354664773	1.423401117	1.494264126
0.124545127	0.054862022	1.455194592
-1.345774889	-1.283306837	-1.494764686
-0.330824494	-0.338801891	0.976541042
0.229133934	0.423401058	0.030696772
-0.953457475	-0.841302156	-0.235378027
-2.230297565	1.448204517	-0.954196334
-0.123382434	0.709871948	0.25525707
0.639118195	0.310700893	0.912052274
-1.023846745	-0.568283677	-0.924448967
-0.90836966	-1.88194418	-1.369233727
-1.843274593	-0.744440675	-0.310340136
0.561115742	0.138519883	1.558873296
0.33604911	-0.535493791	-0.181606829
-1.886343241	-1.367371082	0.59012419
0.452966899	0.033166975	-0.217230707
-0.149377629	0.907636106	-0.34933421
-1.202816963	-0.535493791	-0.56187892
-0.701918721	1.29711175	2.800691366
0	-3.310787678	-0.272372305
-0.843274474	1.415037632	2.889201403
-0.590887368	1.11805582	0.936574578
-0.189270318	-0.353015751	-0.34933421
0.288431138	0.871415794	1.337357998
1.208813906	0.011140555	-0.369233757
-0.721283972	1.62901783	1.822784901
0.400179535	1.492598534	1.188761592
-1.760812283	-1.1043365	-1.954196334
-0.740912795	-0.821402609	-1.83871913
-2.023846626	2.156190872	3.135033607
-2.345774889	-3.551795721	-3.954196215
0.889441609	-0.338801891	0.175086632
1.672888994	3.156190872	2.667855501
0.268934995	1.005581141	1.25525701
1.005900621	0.107713848	0.104697369
-0.17584981	0.086804867	-0.199308813
0.639118195	0.076235652	-0.954196334
0.198545635	-0.367371023	-0.811238468
1.156725407	2.599797487	0.818393171
1.345386982	1.027691841	0.015430026
0.307667345	1.022195816	0.494264126
0.503890872	-0.022542536	0.516123652
-0.244236887	-0.881944239	0.21572873
-1.438884377	0.504472673	-1.253756642
-1.230297685	0.789672673	1.809569359
-0.316027492	-1.033947229	-0.924448967
-3.023846626	-2.426264763	-4.954196453
-0.886343241	0.55862838	-0.07972721
0.069262594	0.448204398	0.015430026
0.654225111	0.919510186	0.415037513
0.113656819	-0.353015751	1.053298235
0.762749553	3.516249657	2.358686686
0.167294711	-1.01122725	-0.329705417
-0.202816993	-0.243042842	-0.096215315
-0.864648104	-1.487665176	0.569365621
0.091630399	-0.902702749	-0.451695949
1.326650381	-0.203872278	-1.217230678
-1.376148582	-0.19104825	-0.584962547
-0.330824494	0.573735237	1.147341609
-0.422942698	-0.033947289	-0.984570026
-2.68280983	-4.689299107	-4.954196453
-0.760812283	-0.966833055	-0.539158881
-1.097847342	-1.551795483	-0.984570026
0.417990774	-1.128584146	-1.369233727
0.188203692	-0.584962428	-1.895302653
0.487115175	-1.487665176	-1.047305822
0.569108486	0.217591465	0.343484163
-0.471305758	0.840521753	0.65066576
0.278715998	-0.487665236	-0.272372305
1.234169483	0.610824645	1.21572876
0.727474093	0.625397444	0.640750289
0.167294711	0.709871948	0.403355718
0.177787095	0.75032407	0.526930392
-0.864648104	0.423401058	0.090197816
-0.301380724	-0.381870568	-0.129767835
-1.202816963	-0.671377182	-0.451695949
-1.123382449	1.097297192	0.379704475
1.097168565	-0.584962428	-0.63226819
-1.023846745	-0.821402609	-0.494764656
0.544996023	0.983126223	0.494264126
1.377601624	0.527931631	-0.217230707
0.102685571	0.086804867	-0.164119422
-0.953457475	-0.519374132	-0.146841437
0.705887318	-0.966833055	-1.584962487
-1.843274593	2.545278788	1.147341609
