UniqueID	CloneID	Accession	Symbol	Name	EntrezID
753234	753234	AA406467			
813614	813614	AA447835	SPRR1B	Small proline-rich protein 1B	6699
71626	71626	T57959	ZNF268	Zinc finger protein 268	10795
486544	486544	AA043334	SNAPC3	Small nuclear RNA activating complex, polypeptide 3, 50kDa	6619
50794	50794	H17047	ZNF133	Zinc finger protein 133	7692
205633	205633	H62985	CCL4L1	Chemokine (C-C motif) ligand 4-like 1	9560
768644	768644	AA425602	POMZP3	POM121 and ZP3 fusion	22932
768561	768561	AA425102	CCL2	Chemokine (C-C motif) ligand 2	6347
302190	302190	W16724	MLL	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	4297
49970	49970	H29484	SSB	Sjogren syndrome antigen B (autoantigen La)	6741
511814	511814	AA088564	ZNF3	Zinc finger protein 3	7551
754998	754998	AA411407	SRP19	Signal recognition particle 19kDa	6728
51408	51408	H19439	RCAN2	Regulator of calcineurin 2	10231
82871	82871	T69346	SHBG	Sex hormone-binding globulin	6462
753430	753430	AA410435	ATRX	Alpha thalassemia/mental retardation syndrome X-linked	546
149910	149910	H00756	SELL	Selectin L	6402
324901	324901	W49672			
186132	186132	H39560	SELE	Selectin E	6401
122762	122762	T99653	WNT2	Wingless-type MMTV integration site family member 2	7472
666829	666829	AA234982	SGCD	Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	6444
234856	234856	H73054	VHL	Von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	7428
49591	49591	H15215	STS	Steroid sulfatase (microsomal), isozyme S	412
210575	210575	H65066	VSNL1	Visinin-like 1	7447
753184	753184	AA400739	SOX9	SRY (sex determining region Y)-box 9	6662
213280	213280	H69834			
810372	810372	AA464765	PIK3CG	Phosphoinositide-3-kinase, catalytic, gamma polypeptide	5294
469345	469345	AA026831	KDR	Kinase insert domain receptor (a type III receptor tyrosine kinase)	3791
162211	162211	H25923	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	5825
327676	327676	W23757	KRT13	Keratin 13	3860
47142	47142	H10964	PEX12	Peroxisomal biogenesis factor 12	5193
50182	50182	H17882	KAL1	Kallmann syndrome 1 sequence	3730
133273	133273	R26960	PMP22	Peripheral myelin protein 22	5376
122428	122428	T99236	RNF6	Ring finger protein (C3H2C3 type) 6	6049
140806	140806	R66310	PAM	Peptidylglycine alpha-amidating monooxygenase	5066
810325	810325	AA464149	IVD	Isovaleryl-CoA dehydrogenase	3712
594540	594540	AA169807	PTCH1	Patched 1	5727
244355	244355	N75745	IL2RG	Interleukin 2 receptor, gamma	3561
128143	128143	R09781		Transcribed locus, strongly similar to NP_000437.3 serum paraoxonase/arylesterase 1 precursor [Homo sapiens]	
823696	823696	AA489743	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	3434
45556	45556	H10477			
727551	727551	AA393214	IRF2	Interferon regulatory factor 2	3660
510032	510032	AA053051	TMEM11	Transmembrane protein 11	8834
811044	811044	AA485426	LOC100288432	Uncharacterized LOC100288432	100288432
207082	207082	H48661	GNPDA1	Glucosamine-6-phosphate deaminase 1	10007
754080	754080	AA478647	ICAM3	Intercellular adhesion molecule 3	3385
770670	770670	AA476272	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	7128
340644	340644	W56709	ITGB8	Integrin, beta 8	3696
44351	44351	H05800	MCF2	MCF.2 cell line derived transforming sequence	4168
755145	755145	AA411440	EZR	Ezrin	7430
47542	47542	H16454	SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide 16kDa	6632
753418	753418	AA410429	VASP	Vasodilator-stimulated phosphoprotein	7408
45544	45544	H08564	TAGLN2	Transgelin 2	8407
34778	34778	R19956	VEGFA	Vascular endothelial growth factor A	7422
770794	770794	AA427595	SHB	Src homology 2 domain containing adaptor protein B	6461
44477	44477	H07071	VCAM1	Vascular cell adhesion molecule 1	7412
161456	161456	H25546	SAA1	Serum amyloid A1	6288
782789	782789	AA448190	AVPR1A	Arginine vasopressin receptor 1A	552
292613	292613	N68565			
810445	810445	AA464470	VARS	Valyl-tRNA synthetase	7407
182661	182661	H42572			
812965	812965	AA464600	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)	4609
39798	39798	R53294	SHMT1	Serine hydroxymethyltransferase 1 (soluble)	6470
265060	265060	N20798	KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815
40704	40704	R55992	SEC14L1	SEC14-like 1 (S. cerevisiae)	6397
260303	260303	H96235	ETS2	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2114
149013	149013	R82299	AMD1	Adenosylmethionine decarboxylase 1	262
810420	810420	AA457097	AKT2	V-akt murine thymoma viral oncogene homolog 2	208
135221	135221	R32952	S100P	S100 calcium binding protein P	6286
345839	345839	W77811	AKT1	V-akt murine thymoma viral oncogene homolog 1	207
66731	66731	T64905	PITX2	Paired-like homeodomain 2	5308
809454	809454	AA456156	UROS	Uroporphyrinogen III synthase	7390
283954	283954	N53351	RIT2	Ras-like without CAAX 2	6014
342721	342721	W68291	ITGB2	Integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	3689
34773	34773	R45056	PTPN11	Protein tyrosine phosphatase, non-receptor type 11	5781
343072	343072	W67174		Transcribed locus, moderately similar to XP_001508202.1 PREDICTED: integrin beta-1-like isoform 2 [Ornithorhynchus anatinus]	
795498	795498	AA454207	ABHD2	Abhydrolase domain containing 2	11057
154015	154015	R48796			
770027	770027	AA427688	PPP2R1A	Protein phosphatase 2, regulatory subunit A, alpha	5518
811740	811740	AA463610	ITGA2	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	3673
769657	769657	AA428749	PPP1R2	Protein phosphatase 1, regulatory (inhibitor) subunit 2	5504
770859	770859	AA434397	ITGB5	Integrin, beta 5	3693
509495	509495	AA047338	PSMA6	Proteasome (prosome, macropain) subunit, alpha type, 6	5687
811096	811096	AA485668	ITGB4	Integrin, beta 4	3691
68977	68977	T53775	PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10	5699
233721	233721	H79047	IGFBP2	Insulin-like growth factor binding protein 2, 36kDa	3485
244189	244189	N52474			
148379	148379	H13300	IGF1R	Insulin-like growth factor 1 receptor	3480
142556	142556	R70868	PSG2	Pregnancy specific beta-1-glycoprotein 2	5670
813179	813179	AA456321	IGF1	Insulin-like growth factor 1 (somatomedin C)	3479
120189	120189	T95747	PSG1	Pregnancy specific beta-1-glycoprotein 1	5669
66428	66428	R15708	INSL4	Insulin-like 4 (placenta)	3641
151662	151662	H04028	ENDOU	Endonuclease, polyU-specific	8909
180803	180803	H52141	INPP1	Inositol polyphosphate-1-phosphatase	3628
49920	49920	H28984	PTDSS1	Phosphatidylserine synthase 1	9791
276091	276091	R94153	ITPKB	Inositol-trisphosphate 3-kinase B	3707
345430	345430	W72473	PIK3CA	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	5290
628529	628529	AA192553	UCP3	Uncoupling protein 3 (mitochondrial, proton carrier)	7352
809578	809578	AA456616	RPS5	Ribosomal protein S5	6193
180520	180520	R85213	UBE3A	Ubiquitin protein ligase E3A	7337
51981	51981	H23421	RPL7A	Ribosomal protein L7a	6130
49464	49464	H15111	UNG	Uracil-DNA glycosylase	7374
322561	322561	W15277	RPL31	Ribosomal protein L31	6160
212021	212021	H68509	ADH6	Alcohol dehydrogenase 6 (class V)	130
365945	365945	AA063631			
78294	78294	T50788			
810617	810617	AA464034	RPL21	Ribosomal protein L21	6144
289978	289978	N64628	UBL4A	Ubiquitin-like 4A	8266
549101	549101	AA083577		Transcribed locus	
51328	51328	H20743	CDC34	Cell division cycle 34 homolog (S. cerevisiae)	997
123117	123117	T98559	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	11014
66686	66686	T67270	RPL10	Ribosomal protein L10	6134
249856	249856	H84048			
25499	25499	R11698	PLXNA1	Plexin A1	5361
223098	223098	H84113	ROM1	Retinal outer segment membrane protein 1	6094
124261	124261	R02346	SNRNP70	Small nuclear ribonucleoprotein 70kDa (U1)	6625
810802	810802	AA458868	CLIP1	CAP-GLY domain containing linker protein 1	6249
141818	141818	R70488			
26616	26616	R39861	RPA2	Replication protein A2, 32kDa	6118
292996	292996	N90630	YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	7533
204299	204299	H59305	RPA3	Replication protein A3, 14kDa	6119
240151	240151	H82706	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	3398
194804	194804	R89808	PITPNA	Phosphatidylinositol transfer protein, alpha	5306
810485	810485	AA457158	ID1	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	3397
813444	813444	AA455945	TSPO	Translocator protein (18kDa)	706
740925	740925	AA478279	IDO1	Indoleamine 2,3-dioxygenase 1	3620
43884	43884	H05580	PPIF	Peptidylprolyl isomerase F	10105
810504	810504	AA464627	PLP2	Proteolipid protein 2 (colonic epithelium-enriched)	5355
162775	162775	H27564	DDX5	DEAD (Asp-Glu-Ala-Asp) box helicase 5	1655
233583	233583	H78484	IL1R2	Interleukin 1 receptor, type II	7850
134322	134322	R31938	OPRK1	Opioid receptor, kappa 1	4986
810213	810213	AA464525	IL1R1	Interleukin 1 receptor, type I	3554
754600	754600	AA406269	NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)	4784
120106	120106	T95052		Transcribed locus, strongly similar to NP_150637.1 caspase-1 isoform epsilon [Homo sapiens]	
509823	509823	AA054073	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	4680
40781	40781	R56552	FOXK2	Forkhead box K2	3607
128159	128159	R11490	TPR	Translocated promoter region, nuclear basket protein	7175
346117	346117	W77927	GBP2	Guanylate binding protein 2, interferon-inducible	2634
72869	72869	T56316			
47900	47900	H11482	IFNGR1	Interferon gamma receptor 1	3459
770452	770452	AA427663	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	7072
126413	126413	R06634	ITIH2	Inter-alpha-trypsin inhibitor heavy chain 2	3698
308281	308281	N92443	UBTF	Upstream binding transcription factor, RNA polymerase I	7343
668685	668685	AA233079	IGFBP1	Insulin-like growth factor binding protein 1	3484
299388	299388	N75595	NUTF2	Nuclear transport factor 2	10204
190491	190491	H37774	TSC2	Tuberous sclerosis 2	7249
203275	203275	H54752	RFC4	Replication factor C (activator 1) 4, 37kDa	5984
341328	341328	W58092	TPM1	Tropomyosin 1 (alpha)	7168
214537	214537	H73714			
723986	723986	AA410680	TMOD1	Tropomodulin 1	7111
159118	159118	R76314	RHOG	Ras homolog family member G	391
24085	24085	T77959	TPP2	Tripeptidyl peptidase II	7174
770391	770391	AA430656	DOK4	Docking protein 4	55715
306813	306813	N79051	ROS1	C-ros oncogene 1 , receptor tyrosine kinase	6098
214133	214133	H72520	BRD2	Bromodomain containing 2	6046
530875	530875	AA070357	TKT	Transketolase	7086
263097	263097	N20072	RPIA	Ribose 5-phosphate isomerase A	22934
362624	362624	AA017341			
810521	810521	AA464644		Transcribed locus	
209655	209655	H62473	TGFBR3	Transforming growth factor, beta receptor III	7049
755663	755663	AA419164	RARB	Retinoic acid receptor, beta	5915
666218	666218	AA233809	TGFB2	Transforming growth factor, beta 2	7042
280752	280752	N50554	AKTIP	AKT interacting protein	64400
212429	212429	H69531	TF	Transferrin	7018
813402	813402	AA455535	REN	Renin	5972
713839	713839	AA284693		Transcribed locus, weakly similar to XP_958002.1 hypothetical protein NCU06935 [Neurospora crassa OR74A]	
230261	230261	H94944	RALA	V-ral simian leukemia viral oncogene homolog A (ras related)	5898
756272	756272	AA480071	TCF7	Transcription factor 7 (T-cell specific, HMG-box)	6932
47559	47559	H11564	RAB5A	RAB5A, member RAS oncogene family	5868
50754	50754	H18070	MTIF2	Mitochondrial translational initiation factor 2	4528
809627	809627	AA458503	NRIP1	Nuclear receptor interacting protein 1	8204
39884	39884	R52542	IMPDH1	IMP (inosine 5@#$%&-monophosphate) dehydrogenase 1	3614
725473	725473	AA397819	KLRK1	Killer cell lectin-like receptor subfamily K, member 1	22914
23282	23282	R39227	IK	IK cytokine, down-regulator of HLA II	3550
627114	627114	AA191156	KLRC2	Killer cell lectin-like receptor subfamily C, member 2	3822
181831	181831	H28469			
741497	741497	AA401137	LCN2	Lipocalin 2	3934
183194	183194	H45000			
753457	753457	AA406535	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	4719
292219	292219	N62462			
813387	813387	AA455538			
126243	126243	R06321	HMBS	Hydroxymethylbilane synthase	3145
813279	813279	AA456408	APEH	N-acylaminoacyl-peptide hydrolase	327
141966	141966	R68803	HSD3B1	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3283
300103	300103	W07099	NAGLU	N-acetylglucosaminidase, alpha	4669
128947	128947	R10284	HMMR	Hyaluronan-mediated motility receptor (RHAMM)	3161
36493	36493	R25825	NAGA	N-acetylgalactosaminidase, alpha-	4668
811108	811108	AA485677	TRIP6	Thyroid hormone receptor interactor 6	7205
41565	41565	R66447	MYCN	V-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	4613
51543	51543	H20758			
810671	810671	AA464121	MFSD7	Major facilitator superfamily domain containing 7	84179
377320	377320	AA055503	TRIM32	Tripartite motif containing 32	22954
365755	365755	AA025850	MYO5A	Myosin VA (heavy chain 12, myoxin)	4644
366893	366893	AA026102	TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	6929
230205	230205	H93459	RAB4A	RAB4A, member RAS oncogene family	5867
755821	755821	AA496576		Transcribed locus	
150221	150221	H00677	RAB1A	RAB1A, member RAS oncogene family	5861
823864	823864	AA490680	TCN2	Transcobalamin II	6948
30093	30093	R14822			
130788	130788	R22050			
245296	245296	N72452		Transcribed locus	
240766	240766	H80215			
127841	127841	R08829	PKLR	Pyruvate kinase, liver and RBC	5313
179334	179334	H50377	TJP1	Tight junction protein 1 (zona occludens 1)	7082
340630	340630	W56189		Transcribed locus, strongly similar to XP_001136851.1 PREDICTED: hypothetical protein isoform 1 [Pan troglodytes]	
66721	66721	T64901	SERPINA7	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	6906
756452	756452	AA482128	TYK2	Tyrosine kinase 2	7297
810512	810512	AA464630	THBS1	Thrombospondin 1	7057
813742	813742	AA453789	PTK7	PTK7 protein tyrosine kinase 7	5754
205185	205185	H59861	THBD	Thrombomodulin	7056
137531	137531	R38343	PTPRG	Protein tyrosine phosphatase, receptor type, G	5793
795178	795178	AA453969	LDHC	Lactate dehydrogenase C	3948
229365	229365	H74265	PTPRC	Protein tyrosine phosphatase, receptor type, C	5788
241530	241530	H84481	EPHA2	EPH receptor A2	1969
240099	240099	H82419	PTPRA	Protein tyrosine phosphatase, receptor type, A	5786
144867	144867	R78541	OTUD4	OTU domain containing 4	54726
770901	770901	AA434520	PTPN9	Protein tyrosine phosphatase, non-receptor type 9	5780
188232	188232	H45711	KLF4	Kruppel-like factor 4 (gut)	9314
50043	50043	H17696	MBP	Myelin basic protein	4155
767638	767638	AA418251	PLAG1	Pleiomorphic adenoma gene 1	5324
196348	196348	R92452			
45138	45138	H07991	VEGFC	Vascular endothelial growth factor C	7424
738899	738899	AA421716	MSH3	MutS homolog 3 (E. coli)	4437
810600	810600	AA464729		Transcribed locus	
136188	136188	R33154			
288896	288896	N62620	KCNK1	Potassium channel, subfamily K, member 1	3775
154707	154707	R55075	MPV17	MpV17 mitochondrial inner membrane protein	4358
305336	305336	W38923	ROR2	Receptor tyrosine kinase-like orphan receptor 2	4920
131362	131362	R22977	MSN	Moesin	4478
35105	35105	R25074	MED28	Mediator complex subunit 28	80306
809557	809557	AA455786	MCM3	Minichromosome maintenance complex component 3	4172
341942	341942	W60015	EIF2S1	Eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	1965
261971	261971	N27227	CHMP1A	Charged multivesicular body protein 1A	5119
199945	199945	R97066		CDNA clone IMAGE:5265906	
754509	754509	AA410591	MET	Met proto-oncogene (hepatocyte growth factor receptor)	4233
127677	127677	R09691	TRA2A	Transformer 2 alpha homolog (Drosophila)	29896
296880	296880	W01240	MPP1	Membrane protein, palmitoylated 1, 55kDa	4354
240367	240367	H89996		Transcribed locus	
200814	200814	R98851	MME	Membrane metallo-endopeptidase	4311
43771	43771	H05655	C1orf61	Chromosome 1 open reading frame 61	10485
809938	809938	AA454810	TACSTD2	Tumor-associated calcium signal transducer 2	4070
526282	526282	AA078778	CSK	C-src tyrosine kinase	1445
