ProbeSet	Symbol	Name	EntrezID
AFFX-BioB-5_at			
AFFX-BioB-M_at			
AFFX-BioB-3_at			
AFFX-BioC-5_at			
AFFX-BioC-3_at			
AFFX-BioDn-5_at			
AFFX-BioDn-3_at			
AFFX-CreX-5_at			
AFFX-CreX-3_at			
AFFX-BioB-5_st			
AFFX-BioB-M_st			
AFFX-BioB-3_st			
AFFX-BioC-5_st			
AFFX-BioC-3_st			
AFFX-BioDn-5_st			
AFFX-BioDn-3_st			
AFFX-CreX-5_st			
AFFX-CreX-3_st			
hum_alu_at			
AFFX-DapX-5_at			
AFFX-DapX-M_at			
AFFX-DapX-3_at			
AFFX-LysX-5_at			
AFFX-LysX-M_at			
AFFX-LysX-3_at			
AFFX-PheX-5_at			
AFFX-PheX-M_at			
AFFX-PheX-3_at			
AFFX-ThrX-5_at			
AFFX-ThrX-M_at			
AFFX-ThrX-3_at			
AFFX-TrpnX-5_at			
AFFX-TrpnX-M_at			
AFFX-TrpnX-3_at			
AFFX-HUMISGF3A/M97935_5_at	STAT1	signal transducer and activator of transcription 1, 91kDa	6772
AFFX-HUMISGF3A/M97935_MA_at	STAT1	signal transducer and activator of transcription 1, 91kDa	6772
AFFX-HUMISGF3A/M97935_MB_at	STAT1	signal transducer and activator of transcription 1, 91kDa	6772
AFFX-HUMISGF3A/M97935_3_at	STAT1	signal transducer and activator of transcription 1, 91kDa	6772
AFFX-HUMRGE/M10098_5_at			
AFFX-HUMRGE/M10098_M_at			
AFFX-HUMRGE/M10098_3_at			
AFFX-HUMGAPDH/M33197_5_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
AFFX-HUMGAPDH/M33197_M_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
AFFX-HUMGAPDH/M33197_3_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
AFFX-HSAC07/X00351_5_at	ACTB	actin, beta	60
AFFX-HSAC07/X00351_M_at	ACTB	actin, beta	60
AFFX-HSAC07/X00351_3_at	ACTB	actin, beta	60
AFFX-HUMTFRR/M11507_5_at	TFRC	transferrin receptor (p90, CD71)	7037
AFFX-HUMTFRR/M11507_M_at	TFRC	transferrin receptor (p90, CD71)	7037
AFFX-HUMTFRR/M11507_3_at	TFRC	transferrin receptor (p90, CD71)	7037
AFFX-M27830_5_at			
AFFX-M27830_M_at			
AFFX-M27830_3_at			
AFFX-HSAC07/X00351_3_st	ACTB	actin, beta	60
AFFX-HUMGAPDH/M33197_5_st	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
AFFX-HUMGAPDH/M33197_M_st	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
AFFX-HUMGAPDH/M33197_3_st	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
AFFX-HSAC07/X00351_5_st	ACTB	actin, beta	60
AFFX-HSAC07/X00351_M_st	ACTB	actin, beta	60
A28102_at	GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	2556
AB000114_at	OMD	osteomodulin	4958
AB000115_at	IFI44L	interferon-induced protein 44-like	10964
AB000220_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	10512
AB000409_at	MKNK1	MAP kinase interacting serine/threonine kinase 1	8569
AB000449_at	VRK1	vaccinia related kinase 1	7443
AB000450_at	VRK2	vaccinia related kinase 2	7444
AB000460_at	FAM193A	family with sequence similarity 193, member A	8603
AB000462_at	SH3BP2	SH3-domain binding protein 2	6452
AB000464_at	C4orf10	chromosome 4 open reading frame 10	317648
AB000466_at	C4orf10	chromosome 4 open reading frame 10	317648
AB000467_at	NOP14	NOP14 nucleolar protein homolog (yeast)	8602
AB000468_at	RNF4	ring finger protein 4	6047
AB000584_at	GDF15	growth differentiation factor 15	9518
AB000895_at	DCHS1	dachsous 1 (Drosophila)	8642
AB000896_at	PCDHGB4	protocadherin gamma subfamily B, 4	8641
AB000897_at	PCDHGA12	protocadherin gamma subfamily A, 12	26025
AB000905_at	HIST1H4I	histone cluster 1, H4i	8294
AB001106_at	GMFB	glia maturation factor, beta	2764
AB001325_at	AQP3	aquaporin 3 (Gill blood group)	360
AB002314_at	FRMPD4	FERM and PDZ domain containing 4	9758
AB002315_at	KIAA0317	KIAA0317	9870
AB002318_at	TLN2	talin 2	83660
AB002365_at	PRUNE2	prune homolog 2 (Drosophila)	158471
AB002366_at	KIAA0368	KIAA0368	23392
AB002380_at	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365
AB002382_at			
AB002409_at	CCL21	chemokine (C-C motif) ligand 21	6366
AB002559_at	STXBP2	syntaxin binding protein 2	6813
AB003102_at	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	5717
AB003103_at	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	5718
AB003177_at	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	5715
AB003698_at	CDC7	cell division cycle 7 homolog (S. cerevisiae)	8317
AB004884_at	TLK2	tousled-like kinase 2	11011
AB006190_at	AQP7	aquaporin 7	364
AC000061_cds2_at	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	1080
AC000061_cds3_at	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	1080
AC000062_at	FRY	furry homolog (Drosophila)	10129
AC000064_cds1_at	GATAD1	GATA zinc finger domain containing 1	57798
AC000064_cds2_at	PEX1	peroxisomal biogenesis factor 1	5189
AC000066_at	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142
AC000099_at	GRM8	glutamate receptor, metabotropic 8	2918
AC000115_cds1_at	VGLL1	vestigial like 1 (Drosophila)	51442
AC002045_xpt1_at			
AC002073_cds1_at	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	113791
AC002077_at	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	2779
AC002086_at	ZBTB33	zinc finger and BTB domain containing 33	10009
AC002115_cds1_at	COX6B1	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)	1340
AC002115_cds3_at	ETV2	ets variant 2	2116
AC002115_cds4_at	UPK1A	uroplakin 1A	11045
AC002115_rna2_at	RBM42	RNA binding motif protein 42	79171
AC002450_at	SLC25A13	solute carrier family 25, member 13 (citrin)	10165
AC002464_at	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16	85413
AC002486_at	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	340273
AD000092_cds1_at	MAST1	microtubule associated serine/threonine kinase 1	22983
AD000092_cds2_at	DNASE2	deoxyribonuclease II, lysosomal	1777
