UniqueID	CloneID	Symbol	Name	EntrezID
HK1A1	21652	CTNNA1	Catenin (cadherin-associated protein), alpha 1, 102kDa	1495
HK1A2	22012	ARF3	ADP-ribosylation factor 3	377
HK1A4	22293	UROS	Uroporphyrinogen III synthase	7390
HK1A5	22493	ATP6V0E2	ATPase, H+ transporting V0 subunit e2	155066
HK1A6	23019	GNAS	GNAS complex locus	2778
HK1A7	23132	SF3A1	Splicing factor 3a, subunit 1, 120kDa	10291
HK1A8	24145	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	10487
HK1A9	25584	UQCRC2	Ubiquinol-cytochrome c reductase core protein II	7385
HK1A10	25725			
HK1A11	26184	PFKP	Phosphofructokinase, platelet	5214
HK1B1	26922	DHPS	Deoxyhypusine synthase	1725
HK1B2	27549			
HK1B3	27624			
HK1B4	27848	ACAA1	Acetyl-CoA acyltransferase 1	30
HK1B5	28309	PI4KA	Phosphatidylinositol 4-kinase, catalytic, alpha	5297
HK1B6	28410	AMPD2	Adenosine monophosphate deaminase 2	271
HK1B7	28985	NAGA	N-acetylgalactosaminidase, alpha-	4668
HK1B8	29054			
HK1B9	30272	SLC9A1	Solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1	6548
HK1B10	30664	AGA	Aspartylglucosaminidase	175
HK1B11	31143			
HK1B12	31169	CAPZA2	Capping protein (actin filament) muscle Z-line, alpha 2	830
HK1C2	32875	DAP3	Death associated protein 3	7818
HK1C3	32898	ECHS1	Enoyl CoA hydratase, short chain, 1, mitochondrial	1892
HK1C4	33525	EEF1G	Eukaryotic translation elongation factor 1 gamma	1937
HK1C5	33632	GOT1	Glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	2805
HK1C6	34255	COMT	Catechol-O-methyltransferase	1312
HK1C7	34357	ACTB	Actin, beta	60
HK1C8	34355	CALM2	Calmodulin 2 (phosphorylase kinase, delta)	805
HK1C9	34396			
HK1C10	34945	TUFM	Tu translation elongation factor, mitochondrial	7284
HK1D2	37196	BCAP31	B-cell receptor-associated protein 31	10134
HK1D3	37366			
HK1D5	37904	GSK3B	Glycogen synthase kinase 3 beta	2932
HK1D6	38471	MNAT1	Menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)	4331
HK1D10	39285	GLUD1	Glutamate dehydrogenase 1	2746
HK1D11	39796	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	3155
HK1E1	39993	SOD1	Superoxide dismutase 1, soluble	6647
HK1E3	40304	SDHA	Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	6389
